rn,B6_x_cast_1xE3_5_bla_1,B6_x_cast_1xE3_5_bla_2,B6_x_cast_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_1,cast_x_B6_1xE3_5_bla_2,cast_x_B6_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_5,cast_x_B6_1xE3_5_bla_7
Rab10os,151,76,76,67,158,37,59,70
Rab10,1138,1014,1099,787,793,704,761,463
1110002L01Rik,16,19,7,63,21,7,5,12
Asxl2,1214,1264,831,2522,656,666,1001,805
Dtnb,347,128,208,177,393,101,248,76
Dnmt3a,2224,1886,1831,725,4023,2285,3057,1454
Efr3b,41,18,6,15,71,69,21,19
Dnajc27,169,91,113,252,195,95,120,109
Adcy3,29,27,34,159,27,52,19,85
Cenpo,215,165,346,183,446,494,297,255
Ptrhd1,1113,640,759,590,539,1030,841,712
Ncoa1,1001,1005,1090,496,858,792,1453,887
Itsn2,1319,805,886,623,698,676,476,539
Fam228a,4,2,5,2,1,3,1,8
Fam228b,78,23,65,234,55,47,85,56
Pfn4,17,112,1,0,77,53,23,0
Sf3b6,2433,1803,2676,3120,3052,3971,2440,2159
Fkbp1b,27,107,81,1,134,221,84,3
BC068281,143,123,146,294,239,87,330,129
Mfsd2b,30,50,17,57,168,0,31,38
Ubxn2a,2495,2124,2197,2502,2276,2799,2880,2511
Atad2b,1958,1444,1318,2673,1797,1355,1591,851
Klhl29,24,3,1,0,21,1,0,0
Ldah,1838,1488,1732,1168,1602,1921,1750,977
Hs1bp3,955,650,530,472,732,556,626,589
Rhob,73,27,43,14,53,93,40,67
Slc7a15,22,0,20,70,12,19,8,49
Laptm4a,1510,933,1546,683,1675,1866,1587,1036
Ttc32,217,256,300,509,616,356,320,165
Rdh14,191,242,203,47,304,866,290,269
Kcns3,254,288,372,646,557,441,381,164
9530020I12Rik,0,0,0,0,0,0,0,0
Gen1,898,843,1229,847,602,701,679,707
Smc6,2701,1668,2486,3024,2416,2660,2412,1988
Fam49a,28,2,43,1,65,142,26,10
4921511I17Rik,0,0,0,0,0,0,0,0
Mycn,357,140,200,72,112,221,139,223
Ddx1,2026,1718,2044,932,1345,1987,1994,1037
Nbas,155,311,148,48,64,242,303,122
Lpin1,286,179,205,146,236,56,174,12
E2f6,107,112,45,129,151,152,94,28
Rock2,1395,819,767,1111,744,617,624,412
Pqlc3,506,145,133,363,538,640,283,205
Nol10,560,196,278,299,281,397,437,192
Odc1,3208,2449,3811,3910,4095,4563,3552,3109
Hpcal1,131,43,133,73,135,357,74,157
5730507C01Rik,131,109,101,107,126,170,164,100
1700030C10Rik,379,391,295,163,249,279,335,194
Asap2,339,481,688,534,761,560,503,453
Itgb1bp1,1138,888,1776,934,1614,2145,1340,989
Cpsf3,1895,1504,1876,1700,2100,1439,1699,1017
Iah1,284,154,233,106,429,136,139,263
Adam17,614,380,369,451,524,559,542,373
Ywhaq,976,878,1449,1590,1817,2019,1387,1001
Gm4425,22,7,20,6,10,8,31,10
2410018L13Rik,58,44,48,18,45,51,62,34
9030624G23Rik,33,44,46,36,33,72,77,60
Taf1b,217,103,260,167,294,383,248,294
Grhl1,900,682,670,137,166,655,422,332
Klf11,224,186,177,85,164,283,356,196
Rrm2,3435,2226,3524,2962,5783,4906,5187,2967
Mboat2,569,285,228,413,579,313,641,378
Kidins220,833,548,700,600,935,501,476,554
Id2,21710,13003,8294,11231,12424,9777,11314,8951
Gm17746,33,0,0,10,108,0,0,49
Allc,39,3,63,0,11,138,17,1
Rps7,2540,1955,2448,1140,2008,2998,2131,1537
Rnaseh1,298,198,372,441,411,352,436,253
Adi1,5223,3732,5065,1712,6392,6346,5105,3677
Trappc12,906,799,581,732,781,598,675,704
Tssc1,1112,947,1093,407,1065,2324,1168,1065
Myt1l,57,71,57,4,1,34,174,32
Pxdn,2,0,0,112,12,58,8,0
Sntg2,0,0,0,0,0,0,0,0
