rn,B6_x_cast_1xE3_5_bla_1,B6_x_cast_1xE3_5_bla_2,B6_x_cast_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_1,cast_x_B6_1xE3_5_bla_2,cast_x_B6_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_5,cast_x_B6_1xE3_5_bla_7
Xkr4,1,0,0,0,0,0,0,21
Sox17,462,100,375,11,96,295,316,132
Mrpl15,8465,6491,9124,2349,8723,11363,7737,6055
Lypla1,737,560,735,1209,831,835,965,796
Tcea1,809,456,712,547,485,554,591,572
Rgs20,0,0,0,15,0,0,0,0
Atp6v1h,1847,1016,1568,1078,2157,2269,1378,916
Rb1cc1,1881,1380,1489,1419,884,1025,1405,853
Fam150a,0,0,0,0,0,0,0,0
St18,36,38,4,68,51,12,41,53
Pcmtd1,1274,780,755,3348,1971,1181,1727,1334
Sntg1,1,0,0,0,0,0,0,1
Rrs1,475,355,447,316,356,243,413,192
Mybl1,10,8,1,26,57,8,24,21
Vcpip1,470,169,243,435,278,356,231,304
1700034P13Rik,30,12,9,56,14,17,10,8
Sgk3,511,306,320,383,218,477,469,146
Mcmdc2,14,19,58,51,40,55,8,47
Snhg6,68,70,38,373,69,21,26,48
Tcf24,86,54,34,84,66,217,74,42
Ppp1r42,0,0,0,0,0,0,0,9
Cops5,5158,4670,6650,3766,6597,10434,6413,5060
Cspp1,835,288,300,417,304,426,416,273
Arfgef1,593,661,536,1081,753,549,795,642
Cpa6,0,0,0,0,0,0,0,0
Prex2,2,4,10,0,5,34,37,1
A830018L16Rik,50,32,38,6,88,18,82,63
Sulf1,39,0,37,37,39,85,8,18
Slco5a1,1,0,11,1,0,15,0,0
Prdm14,109,150,53,95,120,154,127,210
Ncoa2,227,365,311,472,201,316,416,326
Tram1,922,541,796,1081,614,830,771,608
Lactb2,930,588,1044,1123,877,1020,995,622
Xkr9,0,0,0,0,0,9,0,0
Eya1,101,12,17,69,84,43,23,96
Msc,102,70,386,586,361,265,626,404
Trpa1,76,0,29,2,0,1,1,0
Kcnb2,0,0,0,0,0,0,0,0
Terf1,1031,987,1164,650,1333,1126,736,662
Sbspon,62,23,97,2,37,32,31,20
4930444P10Rik,65,25,15,135,144,24,52,78
Rpl7,8808,7087,9104,2783,6931,9355,7394,4789
Rdh10,137,111,142,339,304,160,180,350
Stau2,77,76,101,172,200,163,157,57
Ube2w,234,202,261,434,414,273,242,231
Tceb1,6147,6353,9527,10433,10231,11302,9587,7241
Tmem70,1181,948,1709,1076,1956,1699,1546,1605
Ly96,32,50,56,149,132,62,97,43
Jph1,54,65,59,51,15,10,121,3
Gdap1,0,1,0,0,0,0,0,0
Pkhd1,92,1,13,1,0,4,25,30
Mcm3,1565,845,1333,955,1856,1279,1249,985
Paqr8,57,8,4,9,0,19,13,0
Tram2,21,0,24,16,18,39,56,19
Tmem14a,87,36,28,0,37,116,26,52
Gsta3,34,38,68,3,18,54,62,60
Gm4956,0,43,12,15,80,104,107,128
Khdc1a,283,334,234,384,369,269,296,482
Kcnq5,0,2,1,0,0,15,0,0
Rims1,0,0,0,0,0,1,0,0
Ogfrl1,133,86,48,354,190,51,200,60
B3gat2,11,17,12,24,6,1,43,10
Smap1,1943,1381,1580,821,1254,1450,1714,1023
Sdhaf4,464,511,451,646,382,605,459,326
Fam135a,176,121,63,188,208,128,54,63
Col19a1,0,0,1,1,0,1,1,0
Lmbrd1,350,136,157,311,478,280,252,185
Phf3,1599,1008,1089,1334,1126,707,1195,787
Ptp4a1,91,77,31,58,25,94,58,55
4931428L18Rik,36,3,0,0,0,0,0,0
Prim2,436,340,535,265,762,894,541,655
Rab23,242,71,124,195,182,73,96,51
Bag2,73,80,67,21,231,270,219,40
Zfp451,657,436,288,695,377,266,440,351
Gm15455,59,65,47,116,165,40,91,60
Bend6,0,1,0,0,0,8,0,0
Dst,772,527,664,933,691,717,988,657
Ccdc115,737,784,1027,552,1289,1053,1023,570
Imp4,2957,2409,4179,1055,4371,8000,4822,3700
Ptpn18,874,223,696,1,361,933,439,321
Cfc1,165,194,289,120,194,344,195,327
Prss40,0,0,14,1,1,0,3,5
Arhgef4,43,30,112,53,201,41,101,129
Fam168b,1609,1225,1013,801,785,679,1132,618
Hs6st1,734,787,872,888,963,613,992,619
Uggt1,1068,780,922,1179,988,726,1109,691
Neurl3,0,0,1,6,41,0,14,0
Arid5a,180,407,621,0,3,289,201,348
Kansl3,817,828,685,633,722,791,954,710
Fer1l5,40,3,38,79,71,64,17,14
Lman2l,259,430,356,87,181,399,169,176
Cnnm4,481,423,421,449,998,605,591,691
Cnnm3,445,388,293,243,199,195,428,262
Ankrd23,44,17,40,0,28,23,97,53
Ankrd39,80,142,221,30,171,233,186,110
Fam178b,180,111,101,8,316,210,86,143
Cox5b,8990,6615,6083,2850,7149,7344,5400,5708
Actr1b,682,588,1111,395,803,1414,678,1166
Zap70,34,9,40,0,72,64,97,0
Tmem131,1449,941,948,923,1476,1062,821,773
Inpp4a,116,52,38,171,64,69,77,89
Coa5,2739,1796,2431,1887,2400,2689,2379,1549
2010300C02Rik,193,281,317,57,319,277,193,273
Rev1,646,314,348,985,494,391,315,192
Chst10,0,0,0,0,0,0,0,0
Pdcl3,668,649,1173,323,1134,985,742,547
Npas2,19,10,4,18,11,11,21,25
Tbc1d8,200,227,192,260,244,347,120,252
Cnot11,228,154,205,569,237,177,215,152
Rnf149,1312,838,887,2151,1587,681,1571,896
Rfx8,16,0,0,0,0,10,0,0
Map4k4,785,599,731,366,507,752,756,309
Il1r1,0,8,6,0,4,0,5,14
Mfsd9,0,22,23,4,71,77,30,15
Mrps9,1465,1046,1449,830,1097,1585,808,885
Tgfbrap1,209,128,187,436,209,124,196,174
AI597479,332,175,214,315,279,227,215,222
Fhl2,1155,1586,993,335,643,1384,383,155
Nck2,84,69,63,59,88,83,37,45
1500015O10Rik,2,1,0,0,0,0,6,1
Uxs1,176,132,118,133,96,187,205,77
Tpp2,768,727,547,1627,736,459,726,566
Tex30,869,722,916,358,507,1424,823,607
Kdelc1,38,34,18,70,42,48,33,43
Bivm,19,8,5,1,0,16,14,18
Ercc5,228,264,130,316,159,149,103,64
Gulp1,134,113,6,419,154,196,98,116
4930521E06Rik,1,3,0,41,1,0,0,0
Col5a2,12,4,0,72,1,4,0,0
Wdr75,800,432,695,1003,612,766,545,441
Slc40a1,79,62,2,0,2,14,1,2
Dnah7b,14,5,20,15,7,35,1,0
Slc39a10,575,225,289,563,255,379,433,262
Nabp1,139,166,216,488,802,403,450,652
Myo1b,1104,752,1183,1181,1319,683,1382,583
Stat1,150,78,54,122,1,32,85,17
Gls,589,470,459,1461,266,477,585,301
Nab1,127,122,126,104,143,169,121,63
Tmem194b,43,38,18,33,0,13,0,6
Inpp1,3,17,184,62,210,102,54,112
Hibch,370,228,340,424,514,585,665,634
1700019D03Rik,277,225,328,369,355,385,627,349
1700019A02Rik,21,22,3,1,21,7,2,10
Pms1,409,231,247,717,253,218,343,264
Ormdl1,168,216,230,219,209,485,303,200
Osgepl1,421,302,349,239,551,528,524,295
Asnsd1,1516,1468,1468,1679,1854,1999,1375,913
Stk17b,112,91,144,323,162,149,131,167
Hecw2,5,5,18,9,24,0,64,13
Ccdc150,21,20,60,144,43,71,64,20
Gtf3c3,965,485,558,668,585,459,463,351
Pgap1,186,103,62,425,38,66,162,106
Ankrd44,52,75,105,168,227,81,80,59
Sf3b1,8794,6629,9010,8083,7481,8595,6346,5646
Coq10b,23,39,150,123,242,282,170,127
Hspd1,2658,1907,2896,1416,2661,3053,2018,1700
Hspe1,8733,5284,5946,4321,6656,6481,5494,4311
Mob4,1333,841,1350,1141,1176,2779,1532,1028
Rftn2,56,31,26,55,82,23,6,76
Mars2,295,193,214,298,176,233,238,157
Plcl1,0,0,0,0,0,0,0,0
Satb2,1239,700,648,762,873,534,549,407
9130024F11Rik,179,227,167,162,174,121,109,55
4930558J18Rik,40,87,138,25,38,11,26,97
1700066M21Rik,21,32,16,143,32,34,41,6
Tyw5,505,390,526,374,433,749,430,487
9430016H08Rik,527,379,569,147,470,909,465,398
Spats2l,9,14,0,9,0,3,18,0
Kctd18,71,89,190,413,83,33,69,81
Sgol2a,722,755,1007,903,871,846,639,1025
Aox1,22,0,3,15,43,0,0,4
Aox2,11,3,3,41,13,9,4,5
Bzw1,2951,1943,2580,2918,3495,3250,3641,2068
Clk1,1563,1387,1588,2362,1244,1623,899,597
Ppil3,601,585,708,552,605,431,596,354
Nif3l1,1308,768,1154,777,1221,1134,1027,585
Orc2,807,494,603,601,879,748,661,558
Fam126b,556,469,318,1072,574,306,506,308
Ndufb3,1833,1356,1556,1415,2119,2144,1663,1345
Cflar,161,50,94,36,28,23,56,39
Casp8,21,5,0,2,0,3,0,8
Trak2,455,298,333,343,273,219,384,221
Stradb,354,82,305,220,274,385,104,221
Tmem237,103,40,41,18,58,87,13,5
Mpp4,21,9,1,11,2,5,9,2
Als2,307,142,255,124,334,130,146,177
Gm973,631,285,534,226,323,297,383,332
Sumo1,1493,1301,2031,944,1795,2958,1801,1538
Nop58,7554,4963,5958,4181,4871,5285,5110,3397
Bmpr2,480,438,200,679,374,228,224,170
Fam117b,300,264,134,267,233,223,214,172
Ica1l,27,2,26,74,69,35,2,35
Wdr12,2057,1517,1645,1139,1775,1755,2004,1102
Carf,59,36,84,469,169,93,221,134
Nbeal1,675,341,415,1451,560,283,703,400
Cyp20a1,225,129,173,134,157,320,136,126
Abi2,209,106,88,810,204,146,270,125
Raph1,717,675,683,1418,1032,756,956,516
Cd28,0,0,3,69,84,15,9,38
Nrp2,103,28,0,315,1,52,21,62
Ino80d,2583,1964,2080,2062,1994,1503,2140,1737
Ino80dos,62,23,56,63,43,33,19,52
Ndufs1,1849,1316,1621,1946,1769,1793,2032,1295
Eef1b2,10885,8133,10970,12695,13029,12769,10837,7604
Gpr1,24,6,0,31,25,11,0,3
Zdbf2,394,210,257,260,99,77,235,114
Adam23,72,2,1,70,1,11,10,1
Fastkd2,649,476,404,320,329,338,248,183
Klf7,65,74,15,50,48,24,33,54
Creb1,292,534,394,539,339,479,284,193
Mettl21a,45,79,52,35,72,101,70,54
2810408I11Rik,490,451,318,940,688,424,950,455
Ccnyl1,43,75,57,78,56,33,52,88
Fzd5,447,401,251,489,443,235,376,225
Plekhm3,171,222,318,396,286,170,359,310
Akr1cl,25,0,1,0,44,51,0,63
Crygd,1001,449,646,48,445,632,672,724
Crygc,155,179,118,351,180,840,432,173
Crygb,1,0,2,0,54,8,1,5
Cryga,1,0,0,108,0,8,62,20
D630023F18Rik,40,16,45,221,199,64,15,14
Idh1,1122,793,1796,1352,1410,1930,1264,1042
Pikfyve,548,328,353,605,384,222,202,257
Rpe,178,265,302,361,584,688,347,428
Kansl1l,132,86,109,978,218,39,189,210
Acadl,3688,3810,5880,3018,4122,5874,3431,2881
Lancl1,1100,1064,1212,558,1385,1945,863,1075
Ikzf2,31,0,3,3,10,2,0,0
Spag16,0,1,0,0,3,0,0,0
Bard1,448,213,283,456,313,214,309,222
Atic,663,499,570,769,655,877,458,513
Fn1,3036,1057,1633,1890,1672,999,1130,901
Apol7d,0,0,11,18,0,9,8,12
Mreg,1629,1519,1737,1356,1694,1041,1394,983
Pecr,329,412,411,52,533,306,301,270
Xrcc5,372,460,523,469,523,480,309,278
Smarcal1,358,182,296,191,218,303,291,230
Rpl37a,7727,5072,4857,6143,5292,5240,5328,3544
6030407O03Rik,0,0,0,0,0,0,4,0
Tns1,504,382,432,134,771,111,451,367
Cxcr1,15,21,26,1,0,27,48,54
Arpc2,5486,5029,4853,5029,4936,4538,3555,3335
Aamp,856,1078,1654,499,2057,1774,1948,1064
Pnkd,1650,1153,1088,384,1472,1279,1188,942
Tmbim1,3924,2862,3054,1830,4565,3586,3445,3798
Ctdsp1,98,36,92,53,148,98,84,76
Vil1,3,0,0,0,1,3,6,9
Usp37,1012,612,632,2438,1151,670,846,861
Cnot9,1675,940,1096,1426,1833,1849,1589,1180
Plcd4,70,6,29,12,55,26,48,85
Zfp142,424,278,417,295,314,527,399,209
Bcs1l,1006,571,730,375,1338,1163,858,687
Rnf25,130,146,182,205,192,225,221,153
Stk36,0,0,5,0,32,0,9,9
Ttll4,255,190,301,301,185,308,230,238
Cyp27a1,0,0,0,0,48,0,0,0
Wnt6,580,664,490,146,350,729,200,416
Nhej1,225,117,213,24,182,373,140,198
Cnppd1,467,415,282,591,529,194,333,339
Fam134a,805,662,830,469,773,556,566,598
Zfand2b,856,577,1059,139,1085,1037,939,758
Abcb6,559,385,402,428,1994,537,825,481
Atg9a,707,573,525,1301,1178,250,792,477
Ankzf1,127,22,72,77,129,59,90,121
Glb1l,53,2,41,166,57,9,90,62
Stk16,1017,1404,1542,641,3170,2627,2118,1717
Tuba4a,1781,1306,3665,545,2268,2693,2679,1634
A630095N17Rik,30,11,0,0,32,0,0,1
Dnajb2,119,278,304,15,344,208,185,103
Ptprn,156,76,211,8,242,97,75,74
Dnpep,2318,1894,2755,1224,3252,4033,3196,2084
Gmppa,855,658,922,221,459,957,468,152
Chpf,797,398,444,383,356,212,606,247
Stk11ip,1296,698,705,135,1369,861,807,786
Slc4a3,15,17,65,1,51,34,2,24
Epha4,1686,975,718,1251,829,723,1092,455
Sgpp2,13,3,17,3,7,3,0,9
Farsb,3734,3107,5112,2325,5457,7715,5698,3919
Mogat1,0,1,0,0,0,0,0,0
Utp14b,153,118,299,969,593,152,359,170
Acsl3,480,433,484,657,756,536,710,711
Ap1s3,37,39,20,150,25,23,23,15
Wdfy1,2177,1750,2170,2984,3245,2332,2149,2034
Mrpl44,1117,899,1302,1178,1241,1344,1006,852
Serpine2,1057,450,823,702,942,1732,412,407
Fam124b,8,57,77,202,197,47,135,63
Cul3,1139,910,1066,1878,841,878,1316,819
Dock10,2,39,25,225,131,43,31,22
Rhbdd1,199,137,128,241,228,204,387,302
Col4a3,7,3,9,18,18,5,35,4
Mff,1427,1433,2331,1372,2300,4055,2253,1985
Tm4sf20,2,1,0,0,0,0,2,0
Agfg1,616,538,628,1036,929,469,544,345
Slc19a3,51,36,19,1,0,71,13,27
Pid1,48,0,3,8,32,5,14,0
Dner,0,0,0,2,9,7,1,0
Trip12,6087,5166,5215,8782,5234,4483,4490,4767
Fbxo36,102,13,60,13,248,139,101,147
Sp100,60,9,0,0,62,11,9,81
A630001G21Rik,28,0,2,0,9,2,0,0
9930111H07Rik,1,0,0,0,7,10,0,0
Cab39,2055,1491,1858,2756,2630,1413,2227,1433
2810459M11Rik,71,3,9,45,0,52,17,2
Psmd1,10602,8878,11312,5520,9232,10779,11781,6416
Htr2b,129,52,46,302,77,33,88,76
Armc9,251,203,271,79,181,190,284,118
B3gnt7,1956,912,1051,682,585,1440,915,827
Ncl,43025,26984,33002,7727,22103,27250,27759,15644
C130036L24Rik,113,27,34,106,182,88,89,111
Ptma,4071,3069,3253,3702,4946,3065,3954,3232
Pde6d,828,432,728,306,897,1246,1130,766
Cops7b,887,750,1376,323,1339,1917,1130,1187
Dis3l2,263,180,180,129,310,395,151,176
Alppl2,1035,1045,1031,387,4487,2001,6065,2396
Eif4e2,7241,5584,7678,1686,7844,10837,6554,4951
Efhd1,62,43,11,0,125,75,42,2
Gigyf2,1059,1107,1044,622,692,623,825,426
Kcnj13,36,16,24,73,14,35,17,4
Ngef,48,1,2,0,42,0,0,0
Inpp5d,1652,832,1535,1497,2307,1178,1218,1188
Atg16l1,292,120,207,278,250,271,246,207
Sag,54,25,10,34,47,38,37,42
Dgkd,846,410,487,909,903,572,653,656
Usp40,436,390,339,671,359,260,205,373
Ugt1a10,0,0,0,0,0,0,0,0
Ugt1a9,0,0,0,0,0,0,0,0
Ugt1a7c,14,2,0,0,0,0,0,0
Ugt1a6b,0,0,0,0,3,0,0,0
Ugt1a6a,0,0,0,0,0,0,0,0
Ugt1a5,0,0,0,0,0,0,0,0
Ugt1a2,0,0,0,0,0,0,0,0
Dnajb3,61,20,201,119,285,160,221,146
Hjurp,2536,1722,2423,2067,2415,1822,1934,1607
Platr5,119,31,32,164,62,40,61,53
Sh3bp4,66,107,117,68,71,117,181,64
Agap1,75,48,58,211,142,114,57,73
4933400F21Rik,71,24,41,90,18,57,33,13
Gbx2,106,34,73,4,3,28,35,2
Asb18,0,0,0,1,0,42,0,0
Iqca,0,13,0,27,0,33,50,0
Cops8,1401,964,1771,565,1142,2263,1321,898
Col6a3,26,0,0,7,0,29,13,4
Mlph,13,0,0,0,0,19,0,4
Rab17,793,857,1485,1045,1997,1977,1744,1448
Lrrfip1,5897,5536,5298,1472,3030,3902,3578,3206
Rbm44,214,159,244,377,190,185,175,179
Ramp1,0,6,0,1,5,16,0,13
Ube2f,1243,911,1281,369,982,2555,915,1012
Scly,74,141,64,81,123,52,92,82
Espnl,40,0,0,0,0,0,0,0
Klhl30,0,0,24,10,121,18,0,19
Fam132b,322,329,173,228,471,413,295,209
Ilkap,657,460,557,622,507,613,728,434
Hes6,50,31,59,58,158,214,135,61
Per2,17,0,0,0,3,0,0,4
Traf3ip1,202,213,312,145,44,130,148,39
Asb1,74,82,105,91,85,102,32,15
Hdac4,1176,1150,813,1907,1233,1046,1017,1012
Ndufa10,11272,9394,10503,2418,10790,14223,8619,6839
Olfr1414,0,0,0,23,0,0,0,0
Dusp28,66,40,9,11,45,64,88,51
Rnpepl1,660,464,848,683,307,561,547,327
9430060I03Rik,54,17,16,7,51,52,19,40
Capn10,410,235,337,151,439,505,236,317
Gpr35,57,16,33,0,3,3,0,1
Sned1,14,4,15,63,70,10,85,44
Mterf4,1249,553,1374,270,1020,1440,737,1242
Pask,322,223,232,267,398,234,328,181
Ppp1r7,2344,3452,2977,1422,2813,3442,2777,1663
Ano7,0,0,0,0,0,0,4,39
Hdlbp,5078,4184,4829,3414,5232,4625,4311,2636
Sept2,1453,1019,778,1754,1176,753,731,924
Farp2,54,53,29,94,144,26,19,44
Stk25,619,901,900,453,1306,1399,1139,1041
Bok,1542,1194,1962,1063,1204,2164,1395,1092
Thap4,1184,1064,1101,807,1166,1146,1009,1026
Atg4b,2995,3332,4348,1370,5561,5625,3780,4790
Dtymk,1997,1454,2295,2051,3463,3117,2428,2145
Ing5,939,551,794,609,1366,912,794,688
D2hgdh,32,56,88,58,174,66,90,57
Fam174a,49,9,44,49,50,87,17,17
Slco4c1,174,88,70,187,136,93,130,239
Panct2,171,48,79,83,77,129,53,84
Slco6b1,0,0,2,3,0,0,0,0
D1Ertd622e,13,28,5,90,48,35,25,23
Ppip5k2,480,530,431,1714,736,509,778,510
Gin1,323,230,290,105,358,365,309,285
Pam,43,36,24,46,23,18,20,21
Cntnap5b,1,0,1,0,0,0,0,0
Pign,264,236,225,946,402,69,290,342
2310035C23Rik,287,517,286,650,314,385,360,326
Tnfrsf11a,47,58,38,19,25,69,23,42
Zcchc2,369,260,160,219,307,91,205,78
Phlpp1,2,1,15,7,7,9,17,18
Kdsr,432,312,404,531,608,539,599,407
Vps4b,648,565,599,827,462,665,616,470
Serpinb5,0,0,0,0,51,0,0,0
Serpinb2,51,0,1,0,0,0,0,0
Serpinb10,8,0,0,0,0,0,0,0
Tsn,4864,4101,4523,3991,5114,6994,4805,4212
Nifk,3537,2159,2724,2364,3458,3935,2878,2538
Clasp1,428,235,279,423,931,358,461,453
2900060B14Rik,159,62,48,300,59,39,27,19
Tfcp2l1,8667,7665,7623,12480,14304,8651,9775,8738
Gli2,0,0,0,0,0,2,1,0
Inhbb,156,67,33,305,202,148,139,147
Ralb,228,198,126,204,419,493,397,304
Epb41l5,449,397,634,567,739,761,765,610
Ptpn4,143,88,99,303,140,82,142,162
Tmem177,463,427,460,143,532,606,323,359
Sctr,0,3,0,0,0,0,0,0
Tmem37,555,568,179,7,133,1127,593,15
Dbi,3649,2662,3091,2986,3335,4508,3146,3480
3110009E18Rik,106,57,59,38,110,110,113,122
Steap3,67,64,176,14,249,152,103,64
Marco,0,34,0,0,0,1,0,0
Insig2,172,37,38,223,79,159,43,111
Ccdc93,1417,1283,1283,1250,2014,1624,1296,1007
Htr5b,1,1,29,129,24,21,31,22
Ddx18,3356,2296,2616,601,1835,1972,2248,1168
Actr3,935,1104,791,1567,1403,1991,930,1066
Slc35f5,228,212,109,427,378,282,247,231
Gpr39,0,2,0,0,0,3,0,0
Nckap5,2,0,0,0,2,1,0,0
Mgat5,77,139,148,378,55,90,102,153
Tmem163,0,0,0,0,0,0,0,0
Ccnt2,948,856,689,1158,945,868,931,652
Rab3gap1,401,402,352,423,644,247,451,313
Zranb3,459,215,260,492,589,255,337,303
R3hdm1,841,556,603,1253,510,627,829,420
Ubxn4,2632,1722,2293,1683,3138,2675,3870,1907
Lct,18,3,28,38,84,4,70,17
Mcm6,2376,1465,2468,2074,3734,2325,2294,2136
Dars,1964,1516,2389,1872,2528,3153,2127,1690
Thsd7b,8,6,3,0,0,0,0,1
Cd55b,2,0,2,3,9,0,0,0
Cd55,73,124,82,190,196,99,126,174
Zp3r,0,0,0,4,5,0,0,0
C4bp-ps1,3,116,63,5,1,38,72,11
Pfkfb2,130,258,73,547,148,139,167,101
AA986860,542,522,354,127,22,264,67,81
Mapkapk2,83,26,70,92,88,106,66,28
Dyrk3,491,337,515,220,681,345,730,532
Eif2d,1388,1102,1439,612,1728,1527,1771,645
Rassf5,22,1,5,6,34,4,3,11
Ikbke,13,29,2,0,16,41,12,15
Srgap2,377,332,407,485,425,239,284,332
Fam72a,362,266,411,185,291,524,389,534
Avpr1b,0,1,10,0,0,69,50,42
Pm20d1,18,0,16,46,21,0,0,21
Slc41a1,123,88,160,77,102,78,127,51
Rab29,575,860,879,1570,3551,1599,1729,1822
Nucks1,5981,4350,4236,5703,4675,3118,4179,3034
Slc45a3,84,90,38,0,111,78,95,64
Elk4,58,10,39,54,38,3,21,54
Mfsd4a,2,8,23,6,25,22,5,0
Cdk18,748,911,1065,193,379,1276,627,469
Lemd1,25,8,1,47,56,14,3,131
Klhdc8a,94,0,0,0,1,12,0,0
Nuak2,65,73,9,0,0,109,46,13
Tmcc2,0,0,3,14,0,0,0,0
Dstyk,223,170,109,128,182,102,245,244
Rbbp5,2142,1810,1690,844,1789,1461,1847,1235
Cntn2,4,5,33,0,0,1,0,1
Mdm4,1591,1217,1266,2915,1937,1397,1305,1114
Pik3c2b,335,240,295,66,119,178,215,324
Ppp1r15b,677,439,348,742,266,396,294,302
Plekha6,355,228,47,206,141,182,26,119
Gm19461,33,2,0,0,0,0,0,0
Kiss1,4,18,8,1,51,60,66,23
Etnk2,25,16,7,29,207,91,17,42
Sox13,967,760,557,295,930,501,791,329
Snrpe,6945,5975,7227,5408,6810,8548,6795,4783
Zc3h11a,3567,2227,2354,2646,2857,1788,2655,1541
Zbed6,801,622,385,2646,849,380,518,430
Atp2b4,196,233,98,170,177,77,118,21
Prelp,0,13,0,0,6,22,0,0
Btg2,479,199,247,95,437,472,89,254
Chit1,27,104,303,107,196,422,350,373
Chil1,98,141,67,35,159,297,226,186
Ppfia4,179,34,33,4,59,28,65,6
Tmem183a,1369,947,1375,1286,1222,1973,1243,1044
Cyb5r1,1584,1281,1563,1838,2615,2968,2172,2349
Adipor1,2482,2358,3008,2989,3064,5200,2905,2479
Klhl12,785,519,595,458,892,679,493,756
Rabif,1111,758,993,581,1024,2099,747,1032
Mgat4e,6,1,10,39,115,0,51,0
Kdm5b,2220,1878,2023,1673,1424,1516,1474,1257
Syt2,7,6,17,26,145,103,144,27
Ppp1r12b,199,237,224,171,188,188,145,144
Ube2t,142,101,216,174,256,288,167,208
Arl8a,192,125,102,12,78,133,85,41
Elf3,15779,16228,21944,4443,15725,21238,18565,13665
Rnpep,914,1022,1152,635,899,1158,966,659
Timm17a,3728,3194,4795,1916,4858,8106,4790,3861
Ipo9,980,775,1175,915,956,872,707,611
Nav1,93,94,193,277,160,117,97,133
Csrp1,237,369,343,34,413,336,131,100
Phlda3,123,16,129,4,236,112,81,38
Lad1,1268,1015,547,246,241,367,127,138
Igfn1,0,1,0,0,0,0,0,0
Tmem9,772,500,546,873,2044,1063,966,647
Kif21b,237,157,148,176,366,135,336,127
5730559C18Rik,483,334,304,65,197,292,220,215
Camsap2,660,316,443,788,376,365,556,407
Ddx59,106,93,211,27,181,236,76,310
Kif14,779,678,699,383,784,478,620,727
Zfp281,666,482,604,573,754,305,578,387
Platr22,0,7,1,23,78,27,11,80
Nr5a2,787,667,889,2433,926,544,1097,929
Ptprc,40,0,0,0,0,0,0,0
Nek7,89,61,123,115,77,131,109,88
Dennd1b,972,601,632,704,374,336,559,223
Zbtb41,369,233,223,365,212,81,67,43
Aspm,616,377,571,658,670,356,437,460
Cfh,51,7,0,0,0,0,0,0
Kcnt2,0,0,0,0,0,0,0,0
Cdc73,334,361,370,1320,448,233,440,334
B3galt2,14,0,2,49,27,2,2,0
Glrx2,1127,826,826,299,897,1434,1138,878
Trove2,12,43,21,226,73,23,26,60
Uchl5,2264,1590,2431,1068,2358,3614,2498,1783
Rgs2,2,1,0,0,0,221,0,0
Rgs18,11,0,0,0,0,0,0,0
Brinp3,0,0,0,0,0,0,0,0
BC003331,1487,736,734,1372,1523,994,1119,855
Tpr,8791,6787,6923,5565,5901,5752,5686,4574
Prg4,345,15,32,42,26,10,6,11
Hmcn1,0,1,0,0,1,0,1,7
Ivns1abp,1660,1400,1512,3523,4692,2246,3268,2933
Swt1,1540,921,846,2030,1255,807,1017,1030
Trmt1l,402,394,489,825,486,417,472,522
Rnf2,647,482,625,699,408,577,545,208
Fam129a,2986,2885,3125,1112,1478,2640,979,887
Edem3,190,111,122,165,82,144,70,50
1700025G04Rik,183,205,155,73,174,168,257,156
Tsen15,69,47,74,152,205,160,59,47
Rgl1,139,66,8,147,104,46,82,13
Apobec4,4,0,1,0,0,0,0,3
Arpc5,5755,6387,7412,5377,8563,13004,5556,6921
Ncf2,178,75,76,246,217,153,135,143
Smg7,1174,1282,942,2174,1437,438,1150,899
Nmnat2,82,69,116,354,385,71,112,93
Lamc2,184,79,67,258,299,9,143,145
Lamc1,1562,1240,959,520,741,1081,756,607
E330020D12Rik,307,537,255,25,399,102,31,44
Shcbp1l,0,0,12,0,12,1,8,0
Dhx9,941,487,821,1957,1114,889,758,680
Npl,1301,1016,1087,1209,6667,3179,2062,2395
Rnasel,238,208,283,172,283,67,106,117
Mir8114,0,0,0,0,0,0,0,0
Glul,2544,1729,2663,1633,3380,3525,2875,2656
Stx6,61,116,219,26,93,60,125,24
Xpr1,509,378,339,833,569,293,532,474
Acbd6,1736,1925,1884,752,1502,1769,1760,1066
Lhx4,0,0,0,7,0,0,0,0
Qsox1,329,201,191,154,517,287,268,536
Cep350,456,247,266,531,274,235,290,180
Tor1aip1,562,322,347,442,496,432,463,257
Tor1aip2,1570,1159,1330,1354,1638,1485,1338,1392
Tdrd5,44,89,13,109,0,14,30,22
Soat1,3259,3282,1345,1184,1215,6305,1283,1974
Abl2,1548,1223,917,571,573,792,729,500
Tor3a,7,78,46,0,19,113,86,40
Fam20b,432,487,457,404,670,607,757,403
Ralgps2,922,650,604,471,860,497,920,522
Angptl1,35,0,13,0,5,28,5,1
Rasal2,346,293,353,251,596,209,406,310
2810025M15Rik,1610,1170,1954,1050,3146,2042,1793,2009
BC026585,102,83,258,150,534,247,180,353
Rfwd2,101,58,70,306,99,65,107,68
Cacybp,5157,3038,4318,1691,4090,7777,4354,3175
Rc3h1,909,625,452,1089,770,407,690,348
Serpinc1,44,69,45,11,25,4,18,0
Zbtb37,95,35,58,330,135,22,23,54
Gas5,4224,2674,2496,7906,4644,2258,2788,1915
Cenpl,258,90,318,303,310,506,315,446
Klhl20,161,108,61,148,117,136,55,50
Prdx6,11550,9930,16610,2894,10949,24652,11569,6031
Suco,567,237,257,539,246,373,239,197
